id;name;adresse;typ;gruppe;lng;lat
171;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;11.3589805;47.25695055
172;Spielplatz Mitterweg Ost;Mitterweg;Sportplatz;Spielplatz;11.37083107;47.25711753
173;Universitätssportanlagen;Fürstenweg 185;Hallenbad;Schwimmen;11.35571043;47.25718508
174;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;11.35750421;47.25665879
175;Universitätssportanlagen;Fürstenweg 185;Leichtathletikanlage;Sonstiges;11.35976053;47.25678111
176;Tivoli Stadion;Stadionstraße 1-1b;Fußballplatz;Fußball/Football;11.4111767;47.25600855
177;Universitätssportanlagen;Fürstenweg 185;Schießstandhalle;Sonstiges;11.35491197;47.25695912
178;Universitätssportanlagen;Fürstenweg 185;Fußballplatz;Fußball/Football;11.35436709;47.2566212
179;Kletterzentrum Tivoli;Stadionstraße 1;Kletterhalle;Fitness/Klettern;11.41208305;47.25634959
180;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.35658559;47.25692336
181;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.35666662;47.25682951
182;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.35668302;47.25670748
183;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;11.35523398;47.25656782
184;Tivoli Fußballplatz W2;Olympiastraße 10;Fußballplatz;Fußball/Football;11.40982054;47.25582726
185;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.35625649;47.25662604
186;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.3557739;47.25667386
187;Tennisanlage ÖBB;Hauptfrachtenbahnhof;Tennisplatz;Tennis/Squash;11.40356913;47.25600239
188;Universitätssportanlagen;Fürstenweg 185;Kletterhalle;Fitness/Klettern;11.35582768;47.25652252
189;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.35662517;47.25627258
190;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;11.35247971;47.25624513
191;Universitätssportanlagen;Fürstenweg 185;Skate-/Rollerbladeplatz;Funsport;11.35196163;47.25632839
192;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;11.35598809;47.25617582
193;Universitätssportanlagen;Fürstenweg 185;Sportplatz;Spielplatz;11.35539854;47.25614407
194;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;11.35144559;47.25624767
195;Tennisanlage ÖBB;Hauptfrachtenbahnhof;Tennisplatz;Tennis/Squash;11.40366197;47.25567118
196;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;11.35128603;47.256231
197;Fitnessparkour Amras;Tummelplatzweg;Fitnessparkour;Fitness/Klettern;11.42706541;47.25449657
198;Universitätssportanlagen;Fürstenweg 185;Beachvolleyballplatz;Funsport;11.3511264;47.25621432
199;Universitätssportanlagen;Fürstenweg 185;Sporthalle;Sporthalle;11.35188727;47.25611319
200;Universitätssportanlagen;Fürstenweg 185;Kletterhalle;Fitness/Klettern;11.35176871;47.25602023
201;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Sportplatz;Spielplatz;11.35703161;47.25593996
202;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Sportplatz;Spielplatz;11.35650614;47.25590808
203;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Skate-/Rollerbladeplatz;Funsport;11.35589856;47.25579725
204;Tivoli Beachvolleyballplatz;Olympiastraße 10;Beachvolleyballplatz;Funsport;11.41002448;47.25520912
205;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Basketballplatz;Funsport;11.35695511;47.25574973
206;Sportanlage Pulverturm;Hans-Flöckinger-Promenade;Basketballplatz;Funsport;11.35663235;47.25572997
207;Sportplatz Stift Wilten;Klostergasse;Sportplatz;Spielplatz;11.40023047;47.25407834
208;Sportanlage PHT;Pastorstraße 7;Leichtathletikanlage;Sonstiges;11.39600083;47.25272227
209;Sportanlage PHT;Pastorstraße 7;Sportplatz;Spielplatz;11.3956819;47.25272879
210;Sportanlage PHT;Pastorstraße 7;Sportplatz;Spielplatz;11.39546211;47.25242478
211;Sportanlage Sieglanger;Josef-Franz-Huter-Straße 72;Fußballplatz;Fußball/Football;11.35548173;47.25247766
212;Sportanlage Sieglanger;Josef-Franz-Huter-Straße 72;Sportplatz;Spielplatz;11.35658748;47.25250561
213;Sporthalle VS Sieglanger;Weingartnerstraße 26;Sporthalle;Sporthalle;11.36649126;47.25233014
214;Sprungschanze Bergisel;Bergisel;Sprungschanze;Wintersport;11.39954474;47.24864898
215;Tennisplätze Ziegelstadl;Völser Straße;Tennisplatz;Tennis/Squash;11.3559211;47.24881762
216;Tennisplätze Ziegelstadl;Völser Straße;Tennisplatz;Tennis/Squash;11.35545595;47.24872689
217;Spielplatz Grillhof;Grillhofweg 100;Sportplatz;Spielplatz;11.40730695;47.24060173
218;Sporthalle VS Igls-Vill;Habichtstraße 9;Sporthalle;Sporthalle;11.4068865;47.2321712
219;Schießstand Igls;Igler Straße 58a;Schießstandhalle;Sonstiges;11.40642953;47.2300286
220;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;11.41339248;47.22893222
221;Eislaufplatz / Beachvolleyballplatz Igls;nahe Bilgeristraße 24;Eislauf-/Beachvolleyballpl.;Funsport;11.41388398;47.22912011
222;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;11.41858872;47.2272423
223;Reitarena Innsbruck-Igls;Römerstraße 50;Reitanlage;Sonstiges;11.42664377;47.22748556
224;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41036928;47.22685743
225;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41053766;47.226763
226;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41070559;47.2266682
227;Reitarena Innsbruck-Igls;Römerstraße 50;Reithalle;Sonstiges;11.42880511;47.2264329
228;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41013869;47.22658629
229;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.40996362;47.22644365
230;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.40982185;47.22632521
231;Tennis Park Club Igls;Patscher Straße 21;Tennishalle;Tennis/Squash;11.41037733;47.22591626
232;Tennis Park Club Igls;Patscher Straße 21;Squashhalle;Tennis/Squash;11.4107728;47.22600157
233;Fußballplatz Igls;Heiligwasserweg;Fußballplatz;Fußball/Football;11.42090448;47.22539638
234;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41001342;47.22577215
235;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;11.42345189;47.22378664
236;Olympia Bob- und Rodelbahn;Römerstraße;Bobbahn;Wintersport;11.43473651;47.22103884
237;Skigebiet Patscherkofel;Bilgeristraße 24;Skigebiet;Wintersport;11.43326391;47.21245533
238;Klettergarten Ahrntal;Vill - Mülldeponie Ahrntal;Klettergarten;Fitness/Klettern;11.39895508;47.21732254
239;Klettergarten Ahrntal;Vill - Mülldeponie Ahrntal;Klettergarten;Fitness/Klettern;11.3971813;47.21713535
240;Klettergarten Goldbichl (ÖAV);Römerstraße;Klettergarten;Fitness/Klettern;11.41939489;47.21556058
241;Freibad Tivoli;Purtschellerstraße 1;Basketballplatz;Funsport;11.4076565;47.25954503
242;Freibad Tivoli;Purtschellerstraße 1;Sportplatz;Spielplatz;11.40784935;47.25903783
243;Freibad Tivoli;Purtschellerstraße 1;Skate-/Rollerbladeplatz;Funsport;11.40828157;47.25897916
244;Hypoxi Studio Innsbruck;Viaduktbogen 53;Fitnesscenter;Fitness/Klettern;11.40429964;47.27092478
245;Fitnesscenter Lhotka;Innrain 11;Fitnesscenter;Fitness/Klettern;11.39138484;47.26663204
246;Fitnesscenter Kleewein;Grabenweg 67b;Fitnesscenter;Fitness/Klettern;11.43863963;47.26525031
247;Body-Mind;Andreas-Hofer-Straße 11-13;Fitnesscenter;Fitness/Klettern;11.3917841;47.26096422
248;Body-Mind;Andreas-Hofer-Straße 11-13;Fitnesscenter;Fitness/Klettern;11.39181781;47.26080404
249;Alfa Sports and SPA;Innrain 143;Fitnesscenter;Fitness/Klettern;11.37745626;47.25615623
250;Baggersee Minigolf;Archenweg;Minigolfanlage;Golf/Minigolf;11.44721022;47.26718414
251;Baggersee Minigolf;Archenweg;Skate-/Rollerbladeplatz;Funsport;11.44787038;47.26704848
252;Baggersee;Archenweg;Beachvolleyballplatz;Funsport;11.44671826;47.26690523
253;Baggersee;Archenweg;Bocciabahn;Sonstiges;11.44708842;47.26692432
254;Baggersee;Archenweg;Freibad;Schwimmen;11.44688026;47.26577101
255;Eislaufplatz O-Dorf;Kajetan-Sweth-Straße 14;Eislaufplatz;Eissport;11.44208649;47.27059568
256;Sportanlage Ursulinengymnasium;Fürstenweg 86;Hallenbad;Schwimmen;11.36973234;47.26271164
257;Sportanlage Ursulinengymnasium;Fürstenweg 86;Sporthalle;Sporthalle;11.36989529;47.26242603
258;Sportanlage PHT;Pastorstraße 7;Sporthalle;Sporthalle;11.39508056;47.25307547
259;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Kegelbahn;Sporthalle;11.42441913;47.27064367
260;Tennis- und Squashcenter;Stadlweg 40;Tennishalle;Tennis/Squash;11.43095693;47.26675182
261;Tennis- und Squashcenter;Stadlweg 40;Squashhalle;Tennis/Squash;11.43127352;47.26673351
262;Tennis- und Squashcenter;Stadlweg 40;Tennishalle;Tennis/Squash;11.43159771;47.26672022
263;Landessportcenter Tirol;Olympiastraße 10a;Sporthalle;Sporthalle;11.41131262;47.25719465
264;Landessportcenter Tirol;Olympiastraße 10a;Sporthalle;Sporthalle;11.41157913;47.2571835
265;ACT Fitness Studio Tivoli GmbH;Stadionstraße 1;Fitnesscenter;Fitness/Klettern;11.412259;47.25591017
266;Inn-Lauf-Meilen;Karwendel Brücke bis New-Orleans-Brücke;Fitnessparkour;Fitness/Klettern;11.41033465;47.28035963
267;Body and Soul;Mitterweg 16;Fitnesscenter;Fitness/Klettern;11.37601804;47.25969857
268;Happy Fitness;Mitterweg 21;Fitnesscenter;Fitness/Klettern;11.37613986;47.25816799
269;Sporthalle HTBLVA I Anichstraße;Anichstraße 26-28;Sporthalle;Sporthalle;11.38889697;47.26521656
270;Sporthalle HTBLVA I Anichstraße;Anichstraße 26-28;Sporthalle;Sporthalle;11.38928077;47.2650228
271;Sporthalle ITV - Innsbrucker Turnverein;Fallmerayerstraße 12;Sporthalle;Sporthalle;11.39151104;47.26406953
272;Sporthalle ITV - Innsbrucker Turnverein;Fallmerayerstraße 12;Sporthalle;Sporthalle;11.3912443;47.26402903
273;Sporthalle VS Hötting;Schulgasse 4;Sporthalle;Sporthalle;11.38593142;47.27230854
274;Sporthalle VS Hötting;Schulgasse 4;Sporthalle;Sporthalle;11.38595512;47.27210713
275;Judozentrum Innsbruck;Franz-Fischer-Straße 7c;Sporthalle;Sporthalle;11.39554619;47.2580119
276;Sporthalle Akademisches Gymnasium Innsbruck;Angerzellgasse 14;Sporthalle;Sporthalle;11.39696483;47.2680482
277;Sporthalle BG/BRG Sillgasse;Sillgasse 10;Sporthalle;Sporthalle;11.3990716;47.26733878
278;City Squash and Fitness;Hunoldstraße 5;Fitnesscenter;Fitness/Klettern;11.40615832;47.26340499
279;City Squash and Fitness;Hunoldstraße 5;Squashhalle;Tennis/Squash;11.40597524;47.26327486
280;Sporthalle BG/BRG Reithmannstraße;Reithmannstraße 1-3;Sporthalle;Sporthalle;11.41552328;47.27130375
281;Sporthalle BG/BRG Reithmannstraße;Reithmannstraße 1-3;Sporthalle;Sporthalle;11.41584787;47.27097777
282;Body and Soul Women;Amraser-See-Straße 60;Fitnesscenter;Fitness/Klettern;11.43066419;47.26346488
283;Vereinsheim Arzl;Schusterbergweg 15;Sporthalle;Sporthalle;11.43169477;47.28179746
284;Sporthalle VS Pradl-Ost / Siegmairschule;Siegmairstraße 1;Sporthalle;Sporthalle;11.42133615;47.264756
285;Sporthalle VS Pradl-Ost / Siegmairschule;Siegmairstraße 1;Sporthalle;Sporthalle;11.42190296;47.26390657
286;Tennisclub IEV;Reichenauer Straße 144;Beachvolleyballplatz;Funsport;11.42694038;47.27362015
287;Sportanlage Hötting West;Franz-Baumann-Weg 8;Leichtathletikanlage;Sonstiges;11.34360605;47.26696132
288;Sportanlage Hötting West;Franz-Baumann-Weg 8;Fußballplatz;Fußball/Football;11.34393491;47.26696429
289;Sportanlage Hötting West;Franz-Baumann-Weg 8;Fußballplatz;Fußball/Football;11.34317013;47.26684965
290;Sportanlage Hötting West;Franz-Baumann-Weg 8;Basketballplatz;Funsport;11.34418527;47.2664677
291;Sportanlage Hötting West;Franz-Baumann-Weg 8;Eislauf-/Beachvolleyballpl.;Funsport;11.34389598;47.26643179
292;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11.40838881;47.25572391
293;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Basketballplatz;Funsport;11.40867792;47.25630197
294;Tivoli Fußballplatz W1;Stadionstraße 1, Zugang Wiesengasse;Fußballplatz;Fußball/Football;11.40892269;47.25575214
295;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11.40841119;47.25624193
296;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11.40874407;47.25518313
297;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11.40960696;47.25508889
298;Tivoli Leichtathletikanlage;Stadionstraße 1, Zugang Wiesengasse;Leichtathletikanlage;Sonstiges;11.40887829;47.2551338
299;Spielplatz Tivoli;Olympiastraße;Sportplatz;Spielplatz;11.40803011;47.25860365
300;Spielplatz Tivoli;Olympiastraße;Streetballplatz;Funsport;11.40749654;47.25857058
301;Spielplatz Tivoli;Olympiastraße;Sportplatz;Spielplatz;11.40751236;47.2584309
302;Freibad Gruberhof;Heiligwasserweg;Freibad;Schwimmen;11.41530154;47.2284293
303;Olympia Golf;Badhausstraße;Golfplatz;Golf/Minigolf;11.42412516;47.22446083
304;Billard-Sport-Arena;Bachlechnerstraße 46;Billard;Sonstiges;11.37566988;47.26452223
305;At Charly´s Friends;Adamgasse 23;Billard;Sonstiges;11.39864283;47.26084617
306;Pool Café;Müllerstraße 27;Billard;Sonstiges;11.39069659;47.26106651
307;Billardlokal Verein Little Pool Team Innsbruck;Reichenauer Straße 19;Billard;Sonstiges;11.41047931;47.27030442
308;Billardlokal Tiroler Pool Billard Trainingszentrum;Dörrstraße 51;Billard;Sonstiges;11.4372089;47.27857605
309;Billardlokal Verein BC Grand Prix Innsbruck;Innrain 102;Billard;Sonstiges;11.37854029;47.25770355
310;WUB-Skatehalle;Matthias-Schmid-Straße 12;Skate-/Rollerbladehalle;Funsport;11.41449117;47.27707483
311;Sporthalle BORG Fallmerayerstraße;Fallmerayerstraße 7;Sporthalle;Sporthalle;11.39319539;47.26328198
312;Minigolf Kranebitter Hof;Kranebitter Allee 203;Minigolfanlage;Golf/Minigolf;11.32875537;47.26216322
313;BMX-Dirtpark;Hans-Flöckinger-Promenade;Skate-/Rollerbladeplatz;Funsport;11.34740317;47.25443054
314;Spielplatz Sauerweinwiese;Kranebitterbodenweg;Sportplatz;Spielplatz;11.32787026;47.26532482
315;Baggersee;Archenweg;Sportplatz;Spielplatz;11.44469471;47.26486243
316;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41111105;47.22697638
317;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.4107497;47.22715053
318;Tennis Park Club Igls;Patscher Straße 21;Tennisplatz;Tennis/Squash;11.41093363;47.22706024
319;Reitarena Innsbruck-Igls;Römerstraße 50;Reithalle;Sonstiges;11.42766493;47.22758449
320;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Fußballplatz;Fußball/Football;11.42527058;47.27040962
321;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11.42484402;47.2709251
322;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11.42585697;47.2709025
323;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11.42564706;47.27116502
324;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11.42541323;47.27109024
325;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11.42520424;47.27102375
326;Volkshaus Innsbruck Sportanlage;Radetzkystraße 47;Tennisplatz;Tennis/Squash;11.42587153;47.27124427
327;Hallenbad Olympisches Dorf;Kugelfangweg 46;Hallenbad;Schwimmen;11.44698477;47.26944941
328;Spielplatz SOS - Kinderdorf;Hermann-Gmeiner-Straße 51;Sportplatz;Spielplatz;11.44644854;47.26043268
329;Skigebiet Nordpark;Höhenstraße 145;Skigebiet;Wintersport;11.3796658;47.30760711
330;Sportanlage BHAK/BHAS Innsbruck;Karl-Schönherr-Straße 2;Sportplatz;Spielplatz;11.40041115;47.27610669
331;Sportkegelbahn VS Fischerstraße;Franz-Fischer-Straße 38;Kegelbahn;Sporthalle;11.38932646;47.25873154
332;Sporthalle VS Fischerstraße;Franz-Fischer-Straße 38;Sporthalle;Sporthalle;11.38920983;47.25887081
333;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;11.41428118;47.25503714
334;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;11.41521115;47.255195
335;Sportanlage Wiesengasse;Wiesengasse 60;Fußballplatz;Fußball/Football;11.41618626;47.25532328
336;Freibad Tivoli;Purtschellerstraße 1;Beachvolleyballplatz;Funsport;11.40758795;47.25971271
337;Freibad Tivoli;Purtschellerstraße 1;Beachvolleyballplatz;Funsport;11.40754756;47.25983632
338;Spielplatz Lodenareal;Lodenareal;Sportplatz;Spielplatz;11.41941773;47.27703295
339;Spielplatz Kirchmayrgasse;Kirchmayrgasse;Sportplatz;Spielplatz;11.43153806;47.25983175
340;Sporthalle VS Innere Stadt;Angerzellgasse 12;Sporthalle;Sporthalle;11.39612109;47.26811559
341;Sporthalle SPZ Schule am Inn;Hutterweg 1a;Sporthalle;Sporthalle;11.38187204;47.26459233
342;Sporthalle BRG in der Au;Bachlechnerstraße 35;Sporthalle;Sporthalle;11.37391287;47.26412619
